transfermarktLeagueID,transfermarktLeagueURL
LUX1,https://www.transfermarkt.com/bgl-ligue/startseite/wettbewerb/LUX1
ARM1,https://www.transfermarkt.com/bardsragujn-chumb/startseite/wettbewerb/ARM1
MYA1,https://www.transfermarkt.com/myanmar-national-league/startseite/wettbewerb/MYA1
GE1N,https://www.transfermarkt.com/crystalbet-erovnuli-liga/startseite/wettbewerb/GE1N
RU1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/RU1
TUN1,https://www.transfermarkt.com/ligue-professionnelle-1/startseite/wettbewerb/TUN1
PFL1,https://www.transfermarkt.com/philippines-football-league/startseite/wettbewerb/PFL1
ALG1,https://www.transfermarkt.com/ligue-professionnelle-1/startseite/wettbewerb/ALG1
SUC,https://www.transfermarkt.com/supercopa/startseite/pokalwettbewerb/SUC
JAPC,https://www.transfermarkt.com/j-league-cup/startseite/wettbewerb/JAPC
OCL,https://www.transfermarkt.com/ofc-champions-league/startseite/pokalwettbewerb/OCL
NLP,https://www.transfermarkt.com/toto-knvb-beker/startseite/wettbewerb/NLP
GBCS,https://www.transfermarkt.com/community-shield/startseite/wettbewerb/GBCS
IRNP,https://www.transfermarkt.com/hazfi-cup/startseite/wettbewerb/IRNP
WMQ3,https://www.transfermarkt.com/wm-qualifikation-concacaf/startseite/pokalwettbewerb/WMQ3
BESC,https://www.transfermarkt.com/belgian-supercup/startseite/wettbewerb/BESC
ISL,https://www.transfermarkt.com/lengjubikarinn/startseite/wettbewerb/ISL
EL,https://www.transfermarkt.com/europa-league/startseite/pokalwettbewerb/EL
WMQ5,https://www.transfermarkt.com/wm-qualifikation-ozeanien/startseite/pokalwettbewerb/WMQ5
RUP,https://www.transfermarkt.com/russian-cup/startseite/wettbewerb/RUP
KLUB,https://www.transfermarkt.com/fifa-klub-wm/startseite/pokalwettbewerb/KLUB
19YL,https://www.transfermarkt.com/uefa-youth-league/startseite/pokalwettbewerb/19YL
ACL,https://www.transfermarkt.com/caf-champions-league/startseite/pokalwettbewerb/ACL
CHFA,https://www.transfermarkt.com/chinese-fa-cup/startseite/wettbewerb/CHFA
SCP,https://www.transfermarkt.com/scottish-league-cup/startseite/wettbewerb/SCP
DFL,https://www.transfermarkt.com/dfl-supercup/startseite/wettbewerb/DFL
TRS,https://www.transfermarkt.com/turkcell-super-kupa/startseite/wettbewerb/TRS
CDR,https://www.transfermarkt.com/copa-del-rey/startseite/wettbewerb/CDR
WMQ1,https://www.transfermarkt.com/wm-qualifikation-asien/startseite/pokalwettbewerb/WMQ1
RUSS,https://www.transfermarkt.com/russian-super-cup/startseite/wettbewerb/RUSS
WMQ6,https://www.transfermarkt.com/wm-qualifikation-europa/startseite/pokalwettbewerb/WMQ6
HKFA,https://www.transfermarkt.com/hong-kong-fa-cup/startseite/wettbewerb/HKFA
THLC,https://www.transfermarkt.com/thai-league-cup/startseite/wettbewerb/THLC
THFA,https://www.transfermarkt.com/thai-fa-cup/startseite/wettbewerb/THFA
UKRS,https://www.transfermarkt.com/ukrainian-super-cup/startseite/wettbewerb/UKRS
DFB,https://www.transfermarkt.com/dfb-pokal/startseite/wettbewerb/DFB
CIT,https://www.transfermarkt.com/coppa-italia/startseite/wettbewerb/CIT
CL,https://www.transfermarkt.com/uefa-champions-league/startseite/pokalwettbewerb/CL
FAC,https://www.transfermarkt.com/fa-cup/startseite/pokalwettbewerb/FAC
KNLP,https://www.transfermarkt.com/korea-national-league-cup/startseite/wettbewerb/KNLP
RKPO,https://www.transfermarkt.com/korean-fa-cup/startseite/wettbewerb/RKPO
AFCC,https://www.transfermarkt.com/afc-cup/startseite/pokalwettbewerb/AFCC
AFCC,https://www.transfermarkt.com/afc-cup/startseite/pokalwettbewerb/AFCC
SCI,https://www.transfermarkt.com/supercoppa-italiana/startseite/wettbewerb/SCI
USC,https://www.transfermarkt.com/uefa-super-cup/startseite/pokalwettbewerb/USC
INPI,https://www.transfermarkt.com/piala-indonesia/startseite/wettbewerb/INPI
WMQ2,https://www.transfermarkt.com/wm-qualifikation-afrika/startseite/pokalwettbewerb/WMQ2
CGB,https://www.transfermarkt.com/efl-cup/startseite/wettbewerb/CGB
FFAC,https://www.transfermarkt.com/ffa-cup/startseite/wettbewerb/FFAC
AFCL,https://www.transfermarkt.com/afc-champions-league/startseite/pokalwettbewerb/AFCL
